,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Ride It",Regard,1571759,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
58,"WHATS POPPIN","Jack Harlow",1546453,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
59,"Hola - Remix",Dalex,1523888,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
60,"I Don't Care (with Justin Bieber)","Ed Sheeran",1497922,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
61,Diosa,"Myke Towers",1488320,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
62,"Una Vez","Bad Bunny",1487694,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
63,<3,"Bad Bunny",1475233,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
64,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1468401,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
65,ON,BTS,1434259,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
66,"What A Man Gotta Do","Jonas Brothers",1413848,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
67,"Hablamos Mañana","Bad Bunny",1413350,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
68,"hot girl bummer",blackbear,1383882,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
69,Keii,"Anuel AA",1382344,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
70,"10,000 Hours (with Justin Bieber)","Dan + Shay",1373339,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
71,"What If I Told You That I Love You","Ali Gatie",1326701,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
72,"lovely (with Khalid)","Billie Eilish",1295864,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,Muévelo,"Nicky Jam",1282134,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
74,"Beautiful People (feat. Khalid)","Ed Sheeran",1272916,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
75,"Ballin' (with Roddy Ricch)",Mustard,1271305,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
76,"Know Your Worth",Khalid,1270770,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
77,"CITY OF ANGELS",24kGoldn,1266829,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
78,"Heatin Up (feat. Gunna)","Lil Baby",1262356,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
79,Suicidal,"YNW Melly",1259343,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
80,"P FKN R","Bad Bunny",1258001,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
81,"HIGHEST IN THE ROOM","Travis Scott",1248607,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
82,Shallow,"Lady Gaga",1247033,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
83,"when the party's over","Billie Eilish",1244290,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
84,"Lose You To Love Me","Selena Gomez",1226630,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
85,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",1225407,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
86,Tattoo,"Rauw Alejandro",1221983,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
87,"LA CANCIÓN","J Balvin",1213760,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
88,"ON (Feat. Sia)",BTS,1209832,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
89,"The Other Side (from Trolls World Tour)",SZA,1197100,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
90,Woah,"Lil Baby",1192725,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
91,"Feel Me","Selena Gomez",1186281,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
92,"Watermelon Sugar","Harry Styles",1181297,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
93,"No Me Conoce - Remix","Jhay Cortez",1160678,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
94,China,"Anuel AA",1159156,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
95,BOP,DaBaby,1151535,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
96,"Me Gusta",Shakira,1150019,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
97,Callaita,"Bad Bunny",1147023,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
98,Fantasias,"Rauw Alejandro",1146275,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
99,"Lucid Dreams","Juice WRLD",1143220,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
100,"Puesto Pa' Guerrial","Bad Bunny",1126542,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
101,Falling,"Harry Styles",1107831,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
102,SUGAR,BROCKHAMPTON,1099034,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
103,"Go Stupid","Polo G",1096183,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
104,"Never Seen the Rain","Tones and I",1095739,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
105,"7 rings","Ariana Grande",1069226,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
106,"It's You","Ali Gatie",1054618,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
107,"Alone, Pt. II","Alan Walker",1037611,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
108,"No Idea","Don Toliver",1004169,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
109,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",998643,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
110,"Goodbyes (Feat. Young Thug)","Post Malone",998465,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
111,Blanco,"J Balvin",987527,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
112,Lalala,Y2K,972746,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
113,"Black Swan",BTS,968418,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
114,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",966481,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
115,"How Do You Sleep?","Sam Smith",965284,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
116,"OUT WEST (feat. Young Thug)",JACKBOYS,961754,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
117,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,950022,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
118,Happier,Marshmello,935840,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
119,Heartless,"The Weeknd",935307,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
120,Believer,"Imagine Dragons",920440,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
121,"Old Town Road - Remix","Lil Nas X",913818,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
122,"rockstar (feat. 21 Savage)","Post Malone",912880,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
123,Sucker,"Jonas Brothers",908108,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
124,Bruises,"Lewis Capaldi",907922,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
125,"Without Me",Halsey,893510,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
126,Medusa,"Jhay Cortez",886041,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
127,"Say You Won't Let Go","James Arthur",877696,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
128,Wow.,"Post Malone",872288,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
129,"Live Off My Closet (feat. Future)","Lil Baby",864538,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
130,"Shape of You","Ed Sheeran",863519,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
131,"Bohemian Rhapsody - 2011 Mix",Queen,860622,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
132,"Sum 2 Prove","Lil Baby",859717,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
133,"Whine Up","Nicky Jam",859469,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
134,"Boy With Luv (feat. Halsey)",BTS,853799,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
135,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,852669,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
136,"Dancing With A Stranger (with Normani)","Sam Smith",851120,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
137,Definitivamente,"Daddy Yankee",848411,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
138,"Lights Up","Harry Styles",847577,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
