,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Hola - Remix",Dalex,1540480,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
58,"Que Malo","Bad Bunny",1528249,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
59,"I Don't Care (with Justin Bieber)","Ed Sheeran",1513245,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
60,Diosa,"Myke Towers",1502004,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
61,"La Zona","Bad Bunny",1483825,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
62,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1465464,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
63,"hot girl bummer",blackbear,1418084,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
64,"What A Man Gotta Do","Jonas Brothers",1403948,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
65,Keii,"Anuel AA",1392811,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
66,"Una Vez","Bad Bunny",1387325,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
67,"10,000 Hours (with Justin Bieber)","Dan + Shay",1347006,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
68,<3,"Bad Bunny",1339027,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
69,ON,BTS,1334921,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
70,"Hablamos Mañana","Bad Bunny",1332132,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
71,"What If I Told You That I Love You","Ali Gatie",1322614,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
72,"lovely (with Khalid)","Billie Eilish",1313224,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,"CITY OF ANGELS",24kGoldn,1288558,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
74,Muévelo,"Nicky Jam",1287958,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
75,"Beautiful People (feat. Khalid)","Ed Sheeran",1285735,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
76,"Ballin' (with Roddy Ricch)",Mustard,1277760,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
77,"Know Your Worth",Khalid,1277185,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
78,"HIGHEST IN THE ROOM","Travis Scott",1262001,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
79,Tattoo,"Rauw Alejandro",1258977,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
80,Suicidal,"YNW Melly",1253054,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
81,Shallow,"Lady Gaga",1241690,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
82,"when the party's over","Billie Eilish",1238512,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
83,"Lose You To Love Me","Selena Gomez",1220307,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
84,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",1216381,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
85,"Heatin Up (feat. Gunna)","Lil Baby",1213706,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
86,"LA CANCIÓN","J Balvin",1206664,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
